,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1328,6214,"CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND",89,1.61,6.45,1.6,0.81,0.0,524.0,3.225
1371,6312,"CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND",89,1.61,7.26,2.4,1.61,0.0,669.0,2.419
1240,6046,"SOUP,CRM OF ONION,CND,COND",88,2.2,10.4,0.4,3.64,27.0,637.0,2.84
1403,6351,"CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND",87,0.79,18.25,0.8,7.94,0.0,611.0,0.397
1518,6584,"SOUP,BROCCOLI CHS,CND,COND,COMM",87,2.1,7.7,1.8,2.12,41.0,661.0,3.6
1428,6392,"CAMPBELL'S CHUNKY SOUPS,CHICK BROCCOLI CHS & POTATO SOUP",86,2.86,8.16,1.2,2.45,8.0,359.0,
1232,6038,"CAMPBELL'S,CHEDDAR CHS SOUP,COND",84,0.8,11.44,2.2,3.73,36.0,692.0,1.81
1213,6011,"SOUP,CHS,CND,COND",82,0.8,11.3,2.2,3.73,36.0,692.0,3.532
1429,6393,"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",82,2.86,8.16,0.8,1.22,8.0,351.0,
1423,6384,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP",82,3.27,8.57,1.2,1.22,8.0,343.0,
1361,6250,"CAMPBELL'S, CHNKY MICRO BOWL,NEW ENGL CLM CHOW,RTS",82,2.45,6.94,1.2,0.41,33.0,355.0,
1215,6014,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",81,1.61,9.68,0.0,2.42,32.0,661.0,3.629
1457,6431,"CAMPBELL'S CHUNKY,NEW ENGLAND CLAM CHOWDER",81,2.46,9.01,1.2,0.0,12.0,353.0,
1475,6454,"CAMPBELL'S CHUNKY SOUPS,GRILLED STEAK- STEAK CHILI W/ BNS",81,6.53,11.02,2.9,3.67,16.0,355.0,
1395,6338,"CAMPBELL'S,CRM OF MUSHROOM SOUP,COND",81,1.29,6.59,0.6,0.4,8.0,697.0,2.235
1397,6340,"CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND",81,0.81,8.06,2.4,3.23,0.0,645.0,2.42
1316,6190,"SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",81,4.19,13.66,4.0,3.17,38.0,187.0,0.667
1399,6342,"CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND",81,2.42,6.45,0.0,0.0,0.0,694.0,2.419
1561,6726,"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80,3.0,7.1,1.4,,,339.0,1.9869999999999999
1562,6728,"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80,2.7,5.6,0.6,,,364.0,4.08
7781,27042,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,RTS",79,2.61,8.28,1.0,0.23,15.0,343.0,
1237,6043,"SOUP,CRM OF MUSHROOM,CND,COND",79,1.35,6.8,0.7,0.4,12.0,691.0,2.183
1408,6358,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK",79,2.51,11.73,0.2,,74.0,442.0,2.0
1612,6992,"HEALTHY REQUEST,VEG SOUP,COND",79,3.17,15.87,2.4,3.97,16.0,325.0,0.0
1417,6374,"CAMPBELL'S RED & WHITE,VEG SOUP,COND",79,3.17,16.67,2.4,5.56,16.0,516.0,0.397
1354,6242,"CAMPBELL'S CHUNKY MICROWAVABLE BWLS,CHCK DMPLINGS SOUP",78,3.27,7.35,1.2,0.82,8.0,363.0,
1459,6433,"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",78,2.45,6.94,1.2,0.41,8.0,327.0,
1478,6459,"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",78,4.9,12.24,2.0,2.04,8.0,318.0,
1422,6383,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP",78,2.04,9.39,0.8,1.25,16.0,322.0,
1330,6216,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK",77,3.01,6.04,0.1,,73.0,362.0,3.67
1244,6050,"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS",77,4.62,11.17,1.7,1.91,14.0,301.0,1.34
1563,6729,"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",77,4.2,6.8,2.3,,,361.0,2.6500000000000004
1564,6730,"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",76,5.2,11.3,,,,343.0,0.704
1473,6451,"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",75,4.08,11.05,0.9,,9.0,398.0,1.41
1358,6246,"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",75,2.74,7.4,0.3,,72.0,405.0,2.95
1440,6406,"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",75,3.99,8.8,,,35.0,437.0,1.94
8526,36414,"RESTAURANT,LATINO,TRIPE SOUP",74,8.61,4.07,,,22.0,411.0,2.169
1246,6053,"SOUP,CRM OF POTATO,CND,COND",74,1.51,12.79,1.3,1.44,17.0,604.0,1.41
1446,6414,"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",74,4.49,12.24,3.3,2.04,24.0,318.0,
1391,6333,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",73,1.61,9.68,0.8,2.42,16.0,605.0,2.016
1611,6991,"HEALTHY REQUEST,TOMATO SOUP,COND",73,1.61,13.71,0.8,8.06,0.0,331.0,0.403
1392,6334,"CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",73,0.81,7.26,2.4,0.81,16.0,516.0,3.629
1327,6213,"CAMPBELL'S RED&WHITE,25% LESS NA TOMATO SOUP,COND",73,1.61,16.13,0.8,9.68,0.0,387.0,
8343,35073,"SOUP,FISH,HOMEMADE (ALASKA NATIVE)",72,7.4,5.6,,,35.0,30.0,
1212,6010,"SOUP,CRM OF CELERY,CND,COND",72,1.32,7.03,0.6,1.35,32.0,516.0,2.1500000000000004
1229,6030,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND",72,3.17,10.32,0.7,0.38,16.0,516.0,0.959
1248,6056,"SOUP,CRM OF SHRIMP,CND,COND",72,2.22,6.53,0.2,,14.0,685.0,3.77
1414,6366,"CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND",71,3.17,13.49,2.4,2.38,16.0,516.0,0.397
1415,6367,"CAMPBELL'S RED & WHITE,NEW ENGLAND CLAM CHOWDER,COND",71,3.17,10.32,0.8,0.79,16.0,516.0,0.397
1289,6146,"CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND",71,3.97,11.9,2.4,1.59,0.0,706.0,1.191
1416,6373,"CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND",71,2.38,14.29,1.6,4.76,16.0,516.0,0.0
1317,6192,"SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",71,3.85,11.83,1.9,5.06,17.0,166.0,0.6699999999999999
1216,6015,"SOUP,CHICK,CND,CHUNKY,RTS",71,5.06,6.88,0.6,0.87,10.0,354.0,1.97
7765,27014,"CAMPBELL'S RED & WHITE,ITALIAN STYLE W",71,3.17,9.52,2.4,1.59,32.0,643.0,
7764,27013,"CAMPBELL'S RED & WHITE,CHICK BARLEY W/",71,3.17,12.7,2.4,1.59,0.0,571.0,
1398,6341,"CAMPBELL'S,CRM OF POTATO SOUP,COND",71,1.51,13.25,1.3,1.44,17.0,604.0,0.6200000000000001
1264,6082,"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND",71,2.38,11.9,0.8,1.59,,381.0,1.588
1419,6377,"CAMPBELL'S,TOMATO SOUP,COND",71,1.46,15.22,1.1,8.23,13.0,377.0,0.0
1509,6545,CAMPBELL'S HOMESTYLE NEW ENGLAND CLAM CHOWDER,70,2.33,5.68,0.8,0.0,14.0,363.0,
7782,27043,"SOUP,CLAM CHOWDER,NEW ENGLAND,RED NA,CND,RTS",70,2.33,5.68,0.8,0.0,14.0,194.0,1.609
1596,6974,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",69,5.1,8.76,0.4,1.42,11.0,35.0,1.492
1204,6001,"SOUP,CRM OF ASPARAGUS,CND,COND",69,1.82,8.52,0.4,0.72,23.0,669.0,1.5699999999999998
1599,6978,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",69,4.3,9.58,0.2,0.84,13.0,25.0,2.015
