,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
8623,42283,"POTATO CHIPS,WHITE,RESTRUCTURED,BKD",469,5.0,71.4,4.8,5.01,125.0,554.0,12.541
8763,43566,"SNACKS,TORTILLA CHIPS,LT (BAKED W/ LESS OIL)",465,8.7,73.4,5.7,0.53,159.0,564.0,9.178
7869,28062,"KEEBLER,CHIPS DELUXE,SOFT 'N CHEWY CHOC CHIP COOKIES",464,4.2,67.4,2.5,29.9,,349.0,13.1
7731,25037,"SNACKS,PITA CHIPS,SALTED",457,11.79,68.26,3.8,4.76,17.0,854.0,12.184000000000001
7917,28113,"KEEBLER,100 CAL RIGHT BITES,CHIPS DELUXE,CHOC CHIP COOKIES",452,4.7,77.7,3.1,40.3,,441.0,8.6
7738,25046,"SNACKS,BAGEL CHIPS,PLN",451,12.34,66.36,4.1,6.02,24.0,233.0,12.885
6373,19424,"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,RED FAT",445,8.7,71.6,4.8,,159.0,1003.0,11.86
8132,28330,"COOKIES,MARSHMLLW,W/ RICE CRL & CHOC CHIPS",435,4.55,63.26,0.0,40.91,0.0,341.0,15.571000000000002
6416,19833,"TORTILLA CHIPS,LOFAT,UNSALTED",416,11.0,80.1,5.3,0.85,159.0,15.0,2.51
6374,19433,"TORTILLA CHIPS,LOFAT,BKD WO/FAT",415,11.0,80.0,5.3,0.67,159.0,517.0,2.51
7720,25025,"SNACKS,SOY CHIPS OR CRISPS,SALTED",385,26.5,53.15,3.5,1.8,171.0,842.0,2.763
7747,25059,"SNACKS, BROWN RICE CHIPS",384,8.2,81.5,4.2,0.6,11.0,326.0,1.6720000000000002
7989,28186,"KELLOGG'S,SPL K,CRACKER CHIPS,CHEDDAR",382,6.4,73.7,9.2,4.3,81.0,750.0,4.2
7992,28189,"KELLOGG'S,SPL K,CRACKER CHIPS,SOUTHWEST RANCH",380,6.2,74.8,9.3,4.3,74.0,750.0,3.7
6378,19437,"POTATO CHIPS,FAT FREE,SALTED",379,9.64,83.76,7.5,3.69,35.0,643.0,0.16499999999999998
7991,28188,"KELLOGG'S,SPL K,CRACKER CHIPS,SOUR CRM & ONION",365,7.1,74.3,9.8,3.5,69.0,764.0,4.2
7990,28187,"KELLOGG'S,SPL K,CRACKER CHIPS,SEA SALT",361,6.8,75.4,10.8,0.6,,760.0,3.5
6383,19444,"SNACKS,TORTILLA CHIPS,LOFAT,MADE W/OLESTRA,NACHO CHS",318,8.44,65.22,6.4,2.82,128.0,705.0,2.433
6372,19423,"SNACKS,POTATO CHIPS,FAT-FREE,MADE W/OLESTRA",274,7.74,65.0,6.8,0.0,35.0,554.0,0.42
6384,19445,"SNACKS,POTATO CHIPS,FRM DRIED POTATOES,FAT-FREE,W/ OLESTRA",253,5.06,56.0,7.3,0.59,20.0,429.0,0.655
