,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6796,21271,"PIZZA HUT 12"" CHS PIZZA,HAND-TOSSED CRUST",271,11.93,31.22,1.8,3.37,209.0,685.0,7.959
6825,21300,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THICK CRUST",271,10.81,33.17,2.2,3.34,179.0,597.0,6.821
6755,21227,"PIZZA,MEAT & VEG TOPPING,RISING CRUST,FRZ,CKD",271,12.63,28.78,2.3,7.26,155.0,640.0,8.929
6752,21224,"PIZZA,CHS TOPPING,REG CRUST,FRZ,CKD",268,10.36,29.02,2.2,3.57,179.0,447.0,8.518
6824,21299,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,REG CRUST",266,11.39,33.33,2.3,3.58,188.0,598.0,7.073
7810,28002,"KELLOGG'S,EGGO,NUTRI-GRAIN FRZ FRUIT PIZZA,STRAWBERRY GRANOL",266,6.5,43.7,2.7,11.9,46.0,263.0,5.300000000000001
6958,21477,"DIGIORNO PIZZA,PEPPERONI TOPPING,RISING CRUST,FRZ,BKD",265,12.46,31.15,2.3,5.1,157.0,743.0,6.531000000000001
6803,21278,"DOMINO'S 14"" CHS PIZZA,ULTIMATE DEEP DISH CRUST",265,10.76,33.48,2.4,4.22,166.0,615.0,6.496
6816,21291,"LITTLE CAESARS 14"" PEPPERONI PIZZA,LRG DEEP DISH CRUST",265,12.93,29.03,1.5,3.39,201.0,492.0,7.465
6812,21287,"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA,REG CRUST",265,13.39,31.5,1.7,4.02,233.0,454.0,6.586
6982,21505,"PIZZA,CHS TOPPING,THIN CRUST,FRZ,CKD",263,11.91,28.8,3.0,3.71,228.0,471.0,8.726
6815,21290,"LITTLE CAESARS 14"" CHS PIZZA,LRG DEEP DISH CRUST",263,12.63,30.1,1.3,3.66,224.0,432.0,6.994
6753,21225,"PIZZA,CHS TOPPING,RISING CRUST,FRZ,CKD",260,12.37,32.91,2.5,5.09,177.0,556.0,6.023
6808,21283,"PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST",260,11.53,32.74,1.9,5.32,166.0,578.0,6.3469999999999995
