,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
5882,18416,"BREAD,WHITE,COMMLY PREP,LO NA,NO SALT",267,8.2,49.6,2.3,4.31,108.0,298.0,2.423
5581,18024,"BREAD,CORNBREAD,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",266,6.7,43.5,,,249.0,658.0,3.385
6019,18971,"BREAD,POTATO",266,12.5,47.07,6.3,9.38,188.0,375.0,0.0
8198,28397,"BREAD,MULTI-GRAIN (INCLUDES WHOLE-GRAIN)",265,13.36,43.34,7.4,6.39,103.0,381.0,1.6320000000000001
5865,18384,"BREAD,RICE BRAN,TOASTED",264,9.7,47.3,5.3,5.08,75.0,292.0,2.569
5595,18042,"BREAD,PITA,WHOLE-WHEAT",262,9.8,55.89,6.1,2.87,15.0,527.0,0.394
5582,18025,"BREAD,CRACKED-WHEAT",260,8.7,49.5,5.5,,43.0,538.0,2.818
5591,18038,"BREAD,OAT BRAN,TOASTED",259,11.4,43.7,4.9,8.46,71.0,387.0,2.5140000000000002
5608,18060,"BREAD,RYE",259,8.5,48.3,5.8,3.85,73.0,603.0,1.9369999999999998
8416,35187,"TENNIS BREAD,PLN (APACHE)",258,9.0,53.26,2.6,3.01,67.0,810.0,0.39
8117,28315,"BREAD,CINN",253,7.05,44.38,3.5,14.11,71.0,388.0,0.0
5617,18075,"BREAD,WHOLE-WHEAT,COMM. PREPARED",252,12.45,42.71,6.0,4.34,161.0,455.0,1.342
5597,18044,"BREAD,PUMPERNICKEL",250,8.7,47.5,6.5,0.53,68.0,596.0,1.369
6021,18973,"FOCACCIA,ITALIAN FLATBREAD,PLN",249,8.77,35.82,1.8,1.75,35.0,561.0,6.547
5612,18066,"BREAD,WHEAT BRAN",248,8.8,47.8,4.0,9.68,74.0,486.0,2.3970000000000002
8139,28337,"BREAD,GLUTEN-FREE,RICE FLOUR,CORN STARCH,AND/OR TAPIOCA",248,4.31,45.78,4.3,3.53,138.0,447.0,2.9859999999999998
5596,18043,"BREAD,PROT (INCL GLUTEN)",245,12.1,43.8,3.0,1.44,124.0,404.0,0.515
5607,18059,"BREAD,RICE BRAN",243,8.9,43.5,4.9,4.67,69.0,269.0,2.363
8120,28318,"BREAD,FRENCH OR VIENNA,WHL WHEAT",239,8.33,49.1,4.2,0.0,42.0,375.0,0.18
5602,18050,"BREAD,RED-CAL,OAT BRAN,TSTD",239,9.5,49.2,14.3,4.2,68.0,547.0,1.3439999999999999
6015,18967,"BREAD,WHITE WHEAT",238,10.66,43.91,9.2,5.0,684.0,478.0,1.0230000000000001
5590,18037,"BREAD,OAT BRAN",236,10.4,39.8,4.5,7.7,65.0,353.0,2.287
5605,18055,"BREAD,RED-CAL,WHEAT",217,13.32,42.47,11.1,3.71,163.0,332.0,1.363
5603,18051,"BREAD,RED-CAL,OATMEAL",210,7.6,43.3,,,115.0,388.0,1.4209999999999998
5606,18057,"BREAD,RED-CAL,WHITE",207,8.7,44.3,9.7,4.76,94.0,479.0,1.626
8119,28317,"BREAD,WHEAT,SPROUTED,TSTD",205,14.3,36.82,5.7,2.86,0.0,515.0,0.0
5604,18053,"BREAD,REDUCED-CALORIE,RYE",203,9.1,40.5,12.0,2.29,76.0,513.0,1.04
5601,18049,"BREAD,RED-CAL,OAT BRAN",201,8.0,41.3,12.0,3.52,57.0,459.0,1.129
8371,35140,"BREAD,KNEEL DOWN (NAVAJO)",195,4.29,39.47,,3.74,5.0,126.0,0.956
5578,18021,"BREAD,BOSTON BROWN,CANNED",195,5.2,43.3,4.7,2.42,70.0,631.0,0.489
8118,28316,"BREAD,WHEAT,SPROUTED",188,13.16,33.88,5.3,2.63,0.0,474.0,0.0
8451,35240,"BREAD,BLUE CORN,SOMIVIKI (HOPI)",186,3.1,39.84,3.6,12.94,34.0,9.0,0.6359999999999999
5471,17374,"LAMB,NZ,IMP,SWEETBREAD,CKD,SOAKED & SIMMRD",144,21.13,0.0,0.0,0.0,6.0,52.0,4.189
5472,17375,"LAMB,NZ,IMP,SWEETBREAD,RAW",72,11.0,0.0,0.0,0.0,2.0,39.0,2.724
