,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
4816,16079,"MOTHBEANS,MATURE SEEDS,CKD,BLD,WO/SALT",117,7.81,20.96,,,3.0,10.0,0.16799999999999998
4975,16345,"BEANS,PINTO,MATURE SEEDS,CND,DRND SOL,RINSED IN TAP H2O",117,7.04,20.77,,,64.0,212.0,
4764,16026,"BEANS,GREAT NORTHERN,MATURE SEEDS,CND",114,7.37,21.02,4.9,1.41,53.0,370.0,0.13799999999999998
4789,16051,"BEANS,WHITE,MATURE SEEDS,CND",114,7.26,21.2,4.8,0.29,73.0,340.0,0.099
4877,16146,"BEANS,PINTO,CND,DRND SOL",114,6.99,20.22,5.5,0.54,63.0,239.0,0.311
4965,16326,"BEANS,GREAT NORTHERN,MATURE SEEDS,CND,LO NA",114,7.37,21.02,4.9,1.41,53.0,177.0,0.13799999999999998
4777,16039,"BEANS,NAVY,MATURE SEEDS,CND",113,7.53,20.45,5.1,0.28,47.0,336.0,0.15
4791,16053,"BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,WO/SALT",110,7.6,19.65,5.4,1.82,36.0,5.0,0.14500000000000002
4980,16353,"BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,W/SALT",110,7.6,19.65,5.4,1.82,36.0,241.0,0.14500000000000002
4749,16009,"BEANS,BKD,CND,W/PORK",106,5.19,19.99,5.5,,53.0,414.0,1.272
8741,43449,"BEANS,BKD,CND,NO SALT ADDED",105,4.8,20.49,5.5,7.78,50.0,1.0,0.138
4750,16010,"BEANS,BKD,CND,W/PORK&SWT SAU",105,4.52,21.57,4.4,8.23,39.0,391.0,0.453
4797,16059,"CHILI WITH BEANS,CANNED",103,6.12,13.24,3.3,1.65,47.0,423.0,2.734
8660,43112,"BEANS,CHILI,BARBECUE,RANCH STYLE,CKD",97,5.0,16.9,4.2,5.25,31.0,725.0,0.22199999999999998
4751,16011,"BEANS,BKD,CND,W/PORK&TOMATO SAU",94,5.15,18.69,4.0,5.67,56.0,437.0,0.5700000000000001
4746,16006,"BEANS,BKD,CND,PLN OR VEGETARIAN",94,4.75,21.14,4.1,7.96,34.0,343.0,0.16599999999999998
4960,16316,"BEANS,BLACK,MATURE SEEDS,CND,LO NA",91,6.03,16.55,6.9,0.23,35.0,138.0,0.1
4756,16018,"BEANS,BLACK TURTLE,MATURE SEEDS,CND",91,6.03,16.55,6.9,0.23,35.0,384.0,0.1
3580,11973,"BEANS,FAVA,IN POD,RAW",88,7.92,17.63,7.5,9.21,37.0,25.0,0.22199999999999998
4767,16029,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CND",84,5.22,14.5,4.3,1.85,34.0,296.0,0.523
4759,16021,"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CND",83,5.54,15.12,6.3,,34.0,332.0,0.096
4977,16347,"BEANS,PINTO,MATURE SEEDS,CND,SOL & LIQUIDS,LO NA",82,4.6,15.18,4.6,1.02,47.0,146.0,0.23
4782,16044,"BEANS,PINTO,MATURE SEEDS,CND,SOL & LIQUIDS",82,4.6,15.18,4.6,1.02,47.0,268.0,0.237
4772,16034,"BEANS,KIDNEY,RED,MATURE SEEDS,CND,SOL & LIQUIDS",81,5.22,14.83,4.3,1.85,29.0,256.0,0.272
3533,11923,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT",81,8.47,6.53,0.8,0.43,59.0,246.0,1.626
3164,11453,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",81,8.47,6.53,0.8,0.52,59.0,10.0,1.626
4971,16337,"BEANS,KIDNEY,RED,MATURE SEEDS,CND,SOL & LIQ,LO NA",81,5.22,14.83,5.3,1.85,29.0,117.0,0.272
3336,11719,"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",78,7.07,15.01,,,16.0,250.0,0.158
2849,11047,"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",78,7.07,15.01,,,16.0,14.0,0.158
2868,11088,"BROADBEANS,IMMAT SEEDS,RAW",72,5.6,11.7,4.2,,22.0,50.0,0.15500000000000003
4792,16054,"BROADBEANS (FAVA BNS),MATURE SEEDS,CND",71,5.47,12.41,3.7,,26.0,453.0,0.08099999999999999
2848,11046,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",67,6.15,13.05,,,15.0,13.0,0.137
3355,11738,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",62,4.8,10.1,,,18.0,277.0,0.16199999999999998
2869,11089,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",62,4.8,10.1,3.6,,18.0,41.0,0.16199999999999998
3295,11653,"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",62,5.25,11.6,,,43.0,153.0,0.176
2976,11225,"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",50,2.95,9.2,,,41.0,2.0,0.248
3404,11788,"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",50,2.95,9.2,,,41.0,238.0,0.248
8662,43125,"BEANS,LIQ FROM STWD KIDNEY BNS",47,1.8,2.8,0.1,0.0,13.0,2.0,2.71
2975,11224,"HYACINTH-BEANS,IMMAT SEEDS,RAW",46,2.1,9.19,3.3,4.08,50.0,2.0,0.183
2860,11062,"BEANS,SNAP,GRN,FRZ,ALL STYLES,MICROWAVED",40,1.98,6.98,3.4,2.6,61.0,3.0,0.055
2858,11060,"BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP",39,1.79,7.54,2.6,2.21,42.0,3.0,0.055
2861,11063,"BEANS,SNAP,GRN,MICROWAVED",39,2.31,6.41,3.4,3.22,55.0,3.0,
3341,11724,"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",35,1.89,7.88,3.3,3.63,46.0,3.0,0.075
3340,11723,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35,1.89,7.88,3.2,3.63,44.0,239.0,0.075
3342,11725,"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",35,1.89,7.88,3.3,3.63,46.0,239.0,0.075
2854,11053,"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",35,1.89,7.88,3.2,3.63,44.0,1.0,0.075
3330,11713,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",33,4.83,4.72,,,19.0,243.0,0.128
2837,11030,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",33,4.83,4.72,,,19.0,7.0,0.128
3347,11730,"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",33,1.8,7.58,2.8,2.22,42.0,3.0,0.055
3339,11722,"BEANS,SNAP,YELLOW,RAW",31,1.82,7.13,3.4,3.27,37.0,6.0,0.031
2853,11052,"BEANS,SNAP,GREEN,RAW",31,1.83,6.97,2.7,3.26,37.0,6.0,0.060000000000000005
2852,11050,"BEANS,SHELLIE,CND,SOL & LIQUIDS",30,1.76,6.19,3.4,0.63,29.0,334.0,0.037
2836,11029,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",29,4.2,4.1,,,17.0,6.0,0.11099999999999999
2859,11061,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT",28,1.49,6.45,3.0,1.88,42.0,1.0,0.052
3348,11731,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",28,1.49,6.45,3.0,1.88,42.0,245.0,0.052
3349,11732,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",28,1.49,6.45,3.0,1.88,49.0,9.0,0.052
3350,11733,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",28,1.49,6.45,3.0,1.88,49.0,245.0,0.052
3296,11654,"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",22,1.86,4.1,,,15.0,51.0,0.063
3346,11729,"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",22,1.12,4.32,1.9,0.78,38.0,2.0,0.122
2856,11056,"BEANS,SNAP,GRN,CND,REG PK,DRND SOL",21,1.05,4.19,1.9,1.44,37.0,268.0,0.11
3542,11932,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",20,1.15,4.5,1.3,0.78,26.0,251.0,0.026
3543,11933,"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",20,1.15,4.5,1.3,0.78,26.0,2.0,0.026
3338,11721,"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",20,1.86,3.5,,,15.0,287.0,0.063
2857,11058,"BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS",16,0.83,3.49,1.5,,22.0,373.0,0.053
3343,11726,"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",15,0.8,3.5,1.5,,24.0,14.0,0.027
3344,11727,"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",15,0.8,3.5,1.5,0.62,24.0,259.0,0.027
2855,11054,"BEANS,SNAP,GRN,CND,REG PK,SOL & LIQUIDS",15,0.72,3.27,1.5,1.25,29.0,192.0,0.047
3345,11728,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",15,0.8,3.5,1.5,0.62,24.0,14.0,0.027
3283,11626,"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",12,1.4,2.14,0.8,0.7,14.0,42.0,0.024
