,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6696,21100,"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY,W/ CONDMNT & VEG",273,14.72,15.37,,,93.0,445.0,13.576
6891,21396,"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT",272,16.96,14.43,1.0,3.49,106.0,480.0,12.328
6671,21026,"FAST FOODS,POTATOES,HASH BROWNS,RND PIECES OR PATTY",272,2.58,28.88,2.7,0.56,19.0,566.0,10.367
6832,21307,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& BACON",272,12.03,26.19,0.8,9.56,109.0,718.0,8.756
6896,21401,"FAST FOODS,CHICK TENDERS",271,19.22,17.25,1.2,0.4,17.0,769.0,7.323
6686,21090,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT",270,13.49,25.46,1.9,5.24,123.0,628.0,10.832
6893,21398,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT",269,15.21,19.72,1.2,3.6,179.0,591.0,12.992
6705,21111,"FAST FOODS,HAMBURGER; DOUBLE,REG PATTY; W/ CONDMNT",268,14.8,18.02,,,43.0,345.0,12.152999999999999
6892,21397,"FAST FOODS,CHESEBRGER; SING,LRG PATY; W/ CONDMNT,VEG & MAYO",268,13.69,17.73,1.1,4.5,73.0,473.0,11.098
6951,21470,"FAST FOODS,FRIED CHICK,DRUMSTK,MEAT & SKN W/ BREADING",267,21.13,7.59,0.5,0.0,24.0,591.0,10.904
6709,21115,"FAST FOODS,HAMBURGER,LRG,TRIPLE PATTY,W/CONDMNT",267,19.3,11.04,,,25.0,275.0,13.187000000000001
6669,21023,"FAST FOODS,FRENCH TOAST W/ BUTTER",264,7.66,26.7,,,54.0,380.0,10.98
6702,21108,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; W/ CONDMNT",263,13.3,29.57,1.8,5.95,116.0,487.0,7.431
6712,21120,"FAST FOODS,HOTDOG,W/CORN FLR COATING (CORNDOG)",263,9.6,31.88,,,58.0,556.0,8.154
6895,21400,"FAST FOODS,CHSBURGR; DBL,RG PTTY; DBL BN W/ CNDMNT & SPL SAU",261,11.94,21.53,1.4,3.26,127.0,485.0,10.133
6663,21013,"FAST FOODS,CROISSANT,W/EGG,CHS,&HAM",261,12.45,18.98,0.9,5.42,95.0,711.0,9.899000000000001
6711,21119,"FAST FOODS,HOTDOG,W/CHILI",260,11.85,27.45,,,17.0,421.0,10.043
6889,21393,"FAST FOODS,HMBURGR; SNG,REG PTTY; DBL BN W/ CNDMNT & SPL SAU",259,12.17,22.69,1.4,,103.0,386.0,9.02
6699,21105,"FAST FOODS,FISH SNDWCH,W/TARTAR SAU",257,10.29,26.69,1.0,3.53,37.0,602.0,4.5440000000000005
6745,21202,"FAST FOODS,HAMBURGER,LRG,SINGLE PATTY,W/CONDMNT",256,15.68,22.14,1.1,3.67,87.0,374.0,10.189
6687,21091,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT & VEG",254,13.06,24.97,1.4,5.11,92.0,546.0,9.579
6703,21109,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; W/ CONDMNT & VEG",254,11.74,24.81,,,57.0,458.0,8.564
6887,21389,"FAST FOODS,HAMBURGER; DOUBLE,LRG PATY; W/ CONDMNT,VEG & MAYO",252,13.94,13.74,1.4,3.52,35.0,289.0,11.89
6689,21093,"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY,W/ CONDMNT & VEG",251,12.8,21.2,,,103.0,633.0,9.955
6698,21102,"FAST FOODS,CHICK FILLET SNDWCH,PLN W/ PICKLES",250,16.28,20.89,1.4,3.64,58.0,753.0,6.604
6710,21118,"FAST FOODS,HOTDOG,PLAIN",247,10.6,18.4,,,24.0,684.0,12.206
6713,21121,"FAST FOODS,RST BF SNDWCH,PLN",244,15.17,22.21,1.3,3.84,55.0,653.0,7.386
6708,21114,"FAST FOODS,HAMBURGER; DOUBLE,LRG PATTY; W/ CONDMNT & VEG",239,15.17,17.82,,,45.0,350.0,9.224
6707,21113,"FAST FOODS,HAMBURGER; SINGLE,LRG PATTY; W/ CONDMNT & VEG",235,11.85,18.35,,,44.0,378.0,10.02
6654,21004,"FAST FOODS,BISCUIT,W/EGG&HAM",233,10.64,16.37,0.4,2.2,115.0,1093.0,8.79
6950,21469,"FAST FOODS,FRIED CHICK,BREAST,MEAT & SKN & BREADING",230,23.51,6.03,0.1,0.0,45.0,657.0,9.327
6667,21021,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&CANADIAN BACON",228,13.64,21.67,0.4,2.13,192.0,617.0,6.313000000000001
6683,21082,"FAST FOODS,TACO W/ BF,CHS & LETTUCE,HARD SHELL",226,8.86,19.85,3.9,0.9,89.0,397.0,8.795
6995,21518,"FAST FOODS,GRILLED CHICK IN TORTILLA,W/ LTTC,CHS,& RANCH SAU",222,13.77,18.43,0.9,1.53,93.0,577.0,5.676
6740,21158,"FAST FOODS,SUBMARINE SNDWCH,MEATBALL MARINARA ON WHITE BREAD",219,9.77,26.01,2.1,4.98,176.0,437.0,6.697
6682,21080,"FAST FOODS,NACHOS,W/ CHS,BNS,GROUND BF,& TOMATOES",219,6.21,21.39,3.7,1.63,47.0,348.0,9.209999999999999
6716,21126,"FAST FOODS,SUBMARINE SNDWCH,TUNA BREAD W/ LETTUCE & TOMATO",218,12.33,15.95,0.7,1.93,136.0,329.0,4.7219999999999995
6948,21467,"FAST FOODS,FRIED CHICK,WING,MEAT ONLY,SKN & BREADING REMOVED",215,28.77,2.13,0.0,0.0,40.0,761.0,7.407
6714,21124,"FAST FOODS,SUBMARINE SNDWCH,COLD CUT BRD W/ LETTUCE & TOMATO",213,10.52,20.43,1.2,3.18,171.0,575.0,7.27
6665,21018,"FAST FOODS,EGG,SCRAMBLED",212,13.84,2.08,0.0,1.64,57.0,187.0,12.042
6677,21060,"FAST FOODS,BURRITO,W/BNS",206,6.48,32.92,,,52.0,454.0,5.3580000000000005
6694,21098,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT & VEG",206,11.59,16.81,1.4,4.0,95.0,385.0,7.411
6966,21486,"FAST FOODS,TACO W/ BF,CHS & LETTUCE,SOFT",206,9.25,20.23,2.9,1.57,123.0,560.0,7.398
6744,21162,"FAST FOODS,SUBMARINE SNDWCH,BACON,LETTUCE,& TOMATO WHT BRD",205,10.06,26.66,1.6,3.61,210.0,354.0,4.273
6678,21061,"FAST FOODS,BURRITO,W/BNS&CHS",205,7.35,31.23,4.2,1.73,124.0,563.0,3.567
6673,21032,"FAST FOODS,SUNDAE,CARAMEL",196,4.71,31.81,0.0,,122.0,126.0,4.867
6679,21063,"FAST FOODS,BURRITO,W/ BNS & BF",191,11.52,19.52,3.0,2.19,90.0,570.0,6.162
6967,21487,"FAST FOODS,TACO W/ CHICK,LETTUCE & CHS,SOFT",189,13.3,19.69,1.2,1.3,122.0,613.0,4.18
6742,21160,"FAST FOODS,SUBMARINE SNDWCH,STK CHS WHT BRD W/ CHS,LTTC TMT",183,12.29,21.49,1.2,3.41,183.0,444.0,3.768
6674,21033,"FAST FOODS,SUNDAE,HOT FUDGE",180,3.57,30.17,0.0,,131.0,115.0,4.654
6680,21064,"FAST FOODS,BURRITO,W/BNS,CHS,&BF",180,7.03,23.37,3.7,2.1,90.0,451.0,4.536
6947,21466,"FAST FOODS,FRIED CHICK,THIGH,MEAT ONLY,SKN & BREDING REMOVED",178,23.21,0.24,0.0,0.0,24.0,577.0,6.3919999999999995
6675,21034,"FAST FOODS,SUNDAE,STRAWBERRY",175,4.09,29.18,0.0,,105.0,60.0,4.183
6946,21465,"FAST FOODS,FRIED CHICK,DRMSTK,MEAT ONLY,SKN & BRDING REMOVED",172,26.24,0.0,0.0,0.0,16.0,492.0,4.936999999999999
6672,21028,"FAST FOODS,VANILLA,LT,SOFT-SERVE ICE CRM,W/ CONE",163,4.24,26.36,0.1,19.49,129.0,81.0,3.7479999999999998
6736,21154,"FAST FOODS,SUBMARINE SNDWCH,OVEN RSTD CHCK WHT BRD LTTC  TMT",157,10.84,21.35,1.2,2.99,154.0,268.0,1.6560000000000001
6715,21125,"FAST FOODS,SUBMARINE SNDWCH,RST BF BREAD W/ LETTUCE & TOMATO",156,12.17,20.34,0.7,3.0,164.0,329.0,1.7610000000000001
6733,21151,"FAST FOODS,SUB,SWT ONION CHICK WIT BRD W/ LTTC,TMT SWT ONION",155,10.91,22.54,1.2,6.06,142.0,305.0,1.147
6945,21464,"FAST FOODS,FRIED CHICK,BREAST,MEAT ONLY,SKN & BRDING REMOVED",153,27.93,0.0,0.0,0.0,23.0,512.0,3.26
6717,21127,"FAST FOODS, COLESLAW",153,0.95,14.89,1.9,12.19,30.0,203.0,4.27
6738,21156,"FAST FOODS,SUBMARINE SNDWCH,HAM ON WHT BRD W/ LTTC & TMT",151,9.12,22.91,1.3,3.54,169.0,396.0,1.389
4358,14347,"SHAKE,FAST FOOD,VANILLA",148,3.37,19.59,0.9,13.63,115.0,81.0,5.747
6737,21155,"FAST FOODS,SUBMARINE SNDWCH,TRKY BRST WHT BRD LTTC & TMT",147,9.12,22.42,1.3,3.09,169.0,317.0,0.997
6735,21153,"FAST FOODS,SUBMARINE SNDWCH,TRKY RST BF HM BRD W/ LTTC & TMT",146,10.66,20.36,1.4,3.19,153.0,348.0,1.185
6684,21083,"FAST FOODS,TACO SALAD",141,6.68,11.91,,,97.0,385.0,6.052
6721,21139,"FAST FOODS,POTATO,MASHED",89,1.65,14.65,1.3,0.5,18.0,306.0,1.297
6998,21521,"FAST FOODS,STRWBY BANANA SMTH MADE W/ ICE & LOW-FAT YOGURT",65,0.86,15.05,0.9,12.68,20.0,14.0,0.049
