,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1261,6076,"SOUP,BEEF BROTH,CUBED,DRY",170,17.3,16.1,0.0,14.51,60.0,24000.0,3.66
1208,6006,"SOUP,BEAN W/ FRANKFURTERS,CND,COND",142,7.6,16.75,4.6,,66.0,831.0,3.6900000000000004
1410,6361,"CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND",141,7.03,21.88,3.1,4.69,16.0,680.0,1.1720000000000002
1245,6051,"SOUP,PEA,SPLIT W/ HAM,CND,COND",141,7.68,20.81,1.7,,16.0,630.0,2.6500000000000004
1421,6380,"CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND",141,7.81,23.44,3.1,3.13,16.0,664.0,1.1720000000000002
1569,6738,"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",140,8.6,21.2,3.0,,,729.0,1.568
1207,6004,"SOUP,BEAN W/ PORK,CND,COND",129,5.88,16.97,5.9,3.0,60.0,672.0,2.76
1274,6117,"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",125,6.25,19.53,6.3,3.13,47.0,672.0,1.9529999999999998
1243,6049,"SOUP,PEA,GRN,CND,COND",125,6.54,20.18,3.9,6.52,21.0,680.0,1.83
1565,6731,"SOUP,BEAN W/BACON,COND,SINGLE BRAND",117,6.5,18.0,4.6,,,672.0,1.3479999999999999
1225,6026,"SOUP,CHILI BF,CND,COND",117,5.09,18.86,2.5,5.09,33.0,788.0,2.255
1251,6061,"SOUP,TOMATO BF W/ NOODLE,CND,COND",112,3.55,16.87,1.2,,14.0,731.0,2.65
7777,27032,"CAMPBELL'S RED & WHITE,LENTIL SOUP,COND",111,6.35,19.05,4.0,1.59,32.0,635.0,0.397
8525,36413,"RESTAURANT,LATINO,BLACK BEAN SOUP",103,5.1,14.79,4.9,0.89,42.0,311.0,1.5699999999999998
1393,6336,"CAMPBELL'S,CRM OF CHICK SOUP,COND",103,1.76,6.03,4.1,0.33,13.0,624.0,5.859999999999999
1291,6149,"SOUP,CHICK MUSHROOM,CND,COND",100,1.61,11.95,3.2,0.79,23.0,669.0,3.371
1560,6725,"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",99,3.1,7.5,0.9,,,299.0,3.02
1568,6736,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",99,2.4,7.7,,,,788.0,3.25
1600,6980,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",98,5.1,9.0,0.6,1.68,20.0,435.0,3.88
1400,6343,"CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND",97,3.23,8.87,3.2,0.81,16.0,702.0,2.42
1404,6353,"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",97,2.42,8.06,0.8,1.61,65.0,637.0,4.032
1295,6158,"SOUP,TOMATO BISQUE,CND,COND",96,1.76,18.47,0.8,,31.0,698.0,0.95
1461,6437,"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",95,6.12,10.2,2.4,2.86,16.0,359.0,
1209,6007,"SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",95,5.19,11.16,4.6,,32.0,400.0,2.95
1432,6398,"CAMPBELL'S CHUNKY SOUPS,FIREHOUSE - HOT SPICY BF BEAN CHILI",95,6.12,10.2,2.4,2.86,16.0,355.0,
1360,6249,"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME MILK",94,4.97,12.69,1.1,,68.0,352.0,2.44
1253,6063,"SOUP,TOMATO RICE,CND,COND",93,1.64,17.08,1.3,5.9,18.0,635.0,0.87
1325,6211,"SOUP,CHS,CND,PREP W/ EQ VOLUME MILK",92,3.77,6.47,0.4,,115.0,406.0,5.26
1205,6002,"SOUP,BLACK BEAN,CND,COND",91,4.83,15.42,6.8,2.49,35.0,970.0,0.8200000000000001
1217,6016,"SOUP,CRM OF CHICK,CND,COND",90,2.38,7.16,0.0,0.54,14.0,702.0,3.753
1328,6214,"CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND",89,1.61,6.45,1.6,0.81,0.0,524.0,3.225
1371,6312,"CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND",89,1.61,7.26,2.4,1.61,0.0,669.0,2.419
